input_text,reply_text
what’s your name,"I’m TinyBot, nice to meet you!"
switch on the curtain,"okay, turning on the curtain."
what’s going on,just monitoring your devices as usual!
you’re awesome,"aww, thank you! so are you!"
how’s the fan,the fan is running smoothly.
check the dim light,"checking the dim light, everything looks fine."
is the phone charger off,"yes, it’s turned off now."
how’s the aquarium filter,the aquarium filter is running smoothly.
check the refrigerator,"checking the refrigerator, everything looks fine."
what’s up,"just hanging out, ready to help you!"
is the phone charger on,"yep, the phone charger is on."
check the aquarium filter,"checking the aquarium filter, everything looks fine."
is the curtain off,"yes, it’s turned off now."
good morning,good morning! how’s your day starting?
check the cctv,"checking the cctv, everything looks fine."
switch on the dim light,"okay, turning on the dim light."
how’s the dim light,the dim light is running smoothly.
switch on the door open close sensor,"okay, turning on the door open close sensor."
how’s the door open close sensor,the door open close sensor is running smoothly.
turn on the curtain,"okay, turning on the curtain."
hi,hi there!
switch off the curtain,"okay, turning off the curtain."
status of door open close sensor,the door open close sensor is working perfectly.
good night,good night! sleep well.
how’s the weather,"I don’t know, but it feels like a good day inside!"
switch on the cctv,"okay, turning on the cctv."
status of cctv,the cctv is working perfectly.
check the light,"checking the light, everything looks fine."
switch off the dim light,"okay, turning off the dim light."
how are you,"I’m doing great, thanks for asking!"
switch off the door open close sensor,"okay, turning off the door open close sensor."
is the cctv on,"yep, the cctv is on."
is the aquarium filter off,"yes, it’s turned off now."
is the light on,"yep, the light is on."
switch on the light,"okay, turning on the light."
switch on the hydroponic farm motor,"okay, turning on the hydroponic farm motor."
status of fan,the fan is working perfectly.
turn on the aquarium filter,"okay, turning on the aquarium filter."
turn off the fan,"okay, turning off the fan."
is the refrigerator on,"yep, the refrigerator is on."
turn off the curtain,"okay, turning off the curtain."
is the dim light on,"yep, the dim light is on."
turn on the fan,"okay, turning on the fan."
check the door open close sensor,"checking the door open close sensor, everything looks fine."
how’s the cctv,the cctv is running smoothly.
turn on the phone charger,"okay, turning on the phone charger."
is the door open close sensor on,"yep, the door open close sensor is on."
switch off the cctv,"okay, turning off the cctv."
turn on the door open close sensor,"okay, turning on the door open close sensor."
turn off the phone charger,"okay, turning off the phone charger."
tell me a joke,why did the light go to school? to get a little brighter!
switch off the light,"okay, turning off the light."
is the hydroponic farm motor on,"yep, the hydroponic farm motor is on."
goodbye,see you soon!
is the cctv off,"yes, it’s turned off now."
is the fan on,"yep, the fan is on."
switch off the aquarium filter,"okay, turning off the aquarium filter."
what can you do,I can help control your smart home devices!
can you dance,only if you play the music!
is the refrigerator off,"yes, it’s turned off now."
switch on the aquarium filter,"okay, turning on the aquarium filter."
bye,bye! have a great day!
who are you,"I’m TinyBot, your smart home friend."
how’s the refrigerator,the refrigerator is running smoothly.
turn off the hydroponic farm motor,"okay, turning off the hydroponic farm motor."
status of dim light,the dim light is working perfectly.
check the phone charger,"checking the phone charger, everything looks fine."
switch on the fan,"okay, turning on the fan."
switch on the phone charger,"okay, turning on the phone charger."
turn on the light,"okay, turning on the light."
thanks,happy to help!
turn off the refrigerator,"okay, turning off the refrigerator."
how’s the phone charger,the phone charger is running smoothly.
is the hydroponic farm motor off,"yes, it’s turned off now."
switch off the fan,"okay, turning off the fan."
is the aquarium filter on,"yep, the aquarium filter is on."
turn off the door open close sensor,"okay, turning off the door open close sensor."
thank you,you’re most welcome!
is the curtain on,"yep, the curtain is on."
how’s the curtain,the curtain is running smoothly.
turn off the cctv,"okay, turning off the cctv."
check the hydroponic farm motor,"checking the hydroponic farm motor, everything looks fine."
status of curtain,the curtain is working perfectly.
turn on the cctv,"okay, turning on the cctv."
status of light,the light is working perfectly.
status of refrigerator,the refrigerator is working perfectly.
switch off the refrigerator,"okay, turning off the refrigerator."
turn off the light,"okay, turning off the light."
is the door open close sensor off,"yes, it’s turned off now."
turn on the dim light,"okay, turning on the dim light."
status of phone charger,the phone charger is working perfectly.
you are funny,haha thanks! I try my best.
status of aquarium filter,the aquarium filter is working perfectly.
turn off the aquarium filter,"okay, turning off the aquarium filter."
turn on the refrigerator,"okay, turning on the refrigerator."
check the curtain,"checking the curtain, everything looks fine."
switch off the phone charger,"okay, turning off the phone charger."
status of hydroponic farm motor,the hydroponic farm motor is working perfectly.
hello,hey there!
how’s the hydroponic farm motor,the hydroponic farm motor is running smoothly.
is the light off,"yes, it’s turned off now."
sing a song,la la la! okay maybe later 😄
switch on the refrigerator,"okay, turning on the refrigerator."
turn on the hydroponic farm motor,"okay, turning on the hydroponic farm motor."
check the fan,"checking the fan, everything looks fine."
turn off the dim light,"okay, turning off the dim light."
how’s the light,the light is running smoothly.
switch off the hydroponic farm motor,"okay, turning off the hydroponic farm motor."
is the fan off,"yes, it’s turned off now."
is the dim light off,"yes, it’s turned off now."
