temperature,humidity,light_intensity,noise_level,pir_motion,ultrasonic_distance,person_count,door_state,window_state,co2_level,gas_leak,smoke_detected,rain_detected,energy_usage,voice_command,room_type,time_of_day,device,state
39.43,80.43,64.68,32.4,0,128.13,0,closed,closed,618.64,1,1,1,1052.3,turn off everything,kitchen,night,fan,ON
21.51,75.38,61.95,58.14,1,236.17,2,open,open,1948.79,0,1,1,420.81,it's hot,living_room,evening,fan,ON
22.7,29.86,96.09,57.53,1,47.44,0,open,closed,1002.17,0,0,0,1951.84,turn off the fan,living_room,morning,light,OFF
31.92,53.87,64.27,29.02,1,250.43,2,closed,closed,1479.13,1,1,1,12.07,start the geyser,living_room,morning,fan,ON
31.78,42.55,47.0,22.67,1,108.47,2,closed,open,1649.83,0,1,0,1275.72,turn on the light,bathroom,evening,fan,ON
30.48,33.96,14.98,59.85,0,117.26,0,closed,open,538.17,1,0,1,1885.79,turn off the fan,bathroom,evening,fan,ON
33.14,53.49,85.6,22.32,1,10.6,2,closed,closed,1189.72,1,0,0,1901.15,it's hot,kitchen,evening,fan,ON
25.98,45.7,9.42,37.44,1,212.02,0,open,open,535.24,0,0,0,1773.31,open the window,bathroom,morning,light,ON
23.19,81.52,21.6,21.58,1,132.62,0,closed,closed,749.37,0,1,1,1060.11,I am leaving,bedroom,morning,fan,ON
36.88,62.93,39.53,63.59,1,265.77,0,closed,open,621.72,0,1,0,869.7,turn on the light,bedroom,evening,fan,ON
35.4,47.17,6.03,24.45,1,269.68,2,closed,open,423.01,1,0,1,1264.1,close the door,kitchen,afternoon,fan,ON
27.63,49.21,98.36,27.55,1,15.56,0,open,open,854.72,0,1,1,1770.11,I am home,bathroom,afternoon,fan,ON
38.32,69.95,4.0,29.67,0,248.57,1,closed,open,503.14,0,1,0,1606.38,turn off the fan,living_room,morning,fan,ON
20.29,44.38,49.88,86.08,1,252.87,2,open,closed,772.01,1,1,1,345.82,turn off the fan,bedroom,morning,fan,ON
38.05,57.39,87.36,55.03,0,217.19,3,open,closed,418.93,1,1,1,1851.99,turn off the fan,kitchen,morning,fan,ON
17.26,44.97,75.53,78.7,1,56.3,2,closed,closed,1562.53,0,0,0,1614.96,good night,kitchen,night,light,OFF
19.46,72.46,35.25,79.17,1,90.36,0,closed,open,733.83,1,1,1,1632.92,I am leaving,kitchen,afternoon,fan,ON
24.03,40.13,50.47,82.88,0,19.28,0,closed,open,898.41,0,1,0,1469.22,I am leaving,bedroom,evening,fan,ON
