temperature,humidity,light_intensity,noise_level,pir_motion,person_count,door_state,window_state,co2_level,gas_leak,smoke_detected,rain_detected,voice_command,room_type,time_of_day,device,state
39.9,58.62,27.51,75.78,1,0,closed,open,1569.88,0,0,0,check the phone_charger,kitchen,night,phone_charger,ON
23.09,66.01,38.71,38.57,0,1,open,open,1270.13,0,1,0,start the heater,bedroom,morning,heater,ON
21.88,42.63,91.31,45.39,0,3,open,closed,1558.44,0,1,1,turn on the heater,office,night,heater,ON
32.46,48.93,16.82,60.76,0,1,closed,closed,907.23,0,0,1,open the curtain,bedroom,afternoon,curtain,ON
30.91,82.56,43.9,23.37,1,0,open,closed,1155.96,0,0,1,start the window,kitchen,evening,window,ON
32.78,65.55,15.3,78.71,1,1,closed,open,796.63,0,1,0,status of the cctv_camera,balcony,morning,cctv_camera,ON
21.11,20.06,90.27,12.9,0,3,closed,closed,1393.15,0,1,1,check the phone_charger,garage,morning,phone_charger,ON
39.54,66.38,52.63,11.56,0,3,open,closed,1486.16,0,0,1,start the window,living_room,evening,window,ON
25.3,86.97,14.09,54.32,1,1,closed,open,1553.87,0,0,1,stop the air_purifier,bedroom,evening,air_purifier,OFF
20.92,55.41,44.03,36.51,0,0,open,closed,1585.05,1,1,1,status of the fan,bedroom,evening,fan,ON
34.8,38.21,10.16,21.35,1,0,open,open,1047.21,0,0,0,is the ac off,kitchen,morning,ac,OFF
25.02,74.93,90.68,48.21,1,0,closed,open,442.34,1,1,0,close the coffee_maker,bedroom,morning,coffee_maker,OFF
21.99,26.85,32.94,70.3,0,1,closed,open,1901.35,1,1,0,deactivate the aquarium_pump,bathroom,afternoon,aquarium_pump,OFF
19.75,58.41,14.62,25.9,1,3,open,closed,1180.41,0,0,1,how s the light,kitchen,evening,light,ON
39.2,61.26,91.1,68.19,1,0,open,closed,1046.02,0,1,1,stop the door,living_room,morning,door,OFF
31.37,65.83,46.74,35.87,1,1,open,open,1368.67,0,1,0,stop the music_system,bathroom,afternoon,music_system,OFF
32.9,52.64,65.11,71.34,0,1,open,closed,1805.23,1,0,1,switch off the ac,bedroom,morning,ac,OFF
29.94,45.63,44.19,76.1,0,0,open,closed,796.85,0,0,1,check the ac,garage,evening,ac,ON
39.66,82.0,79.76,62.31,0,2,open,open,877.33,1,0,0,open the fan,balcony,afternoon,fan,ON
33.05,51.51,81.52,42.18,1,1,closed,open,679.58,0,1,0,how s the air_purifier,balcony,night,air_purifier,ON
32.68,76.53,54.93,65.93,0,0,open,closed,764.52,1,1,1,is the phone_charger on,kitchen,night,phone_charger,ON
16.26,82.06,17.09,51.75,0,1,closed,open,691.94,0,1,1,turn on the tv,balcony,afternoon,tv,ON
32.24,81.55,90.27,19.61,0,2,open,closed,1448.12,0,0,0,status of the water_motor,office,afternoon,water_motor,ON
34.16,31.21,76.92,55.37,1,2,open,open,1181.41,0,1,0,how s the refrigerator,living_room,night,refrigerator,ON
16.29,21.27,53.28,64.92,1,3,closed,closed,1665.58,0,0,1,status of the music_system,garage,morning,music_system,ON
33.38,71.92,99.48,14.87,1,1,open,closed,1862.19,1,0,0,switch on the dehumidifier,office,evening,dehumidifier,ON
